ssyk_code,occupation_name_sv,occupation_name_en,category_1digit,category_2digit,employment_count,median_monthly_salary_sek,year
0110,Officerare,Commissioned armed forces officers,Militärt arbete,01,2274,50000.0,2024
0210,Specialistofficerare,Non-commissioned armed forces officers,Militärt arbete,02,4901,41200.0,2024
0310,Soldater m.fl.,"Armed forces occupation, other ranks",Militärt arbete,03,7015,28300.0,2024
1111,Politiker,Legislators,Chefer,11,468,,2024
1112,"General-, landstings- och kommundirektörer m.fl.",Senior government officials,Chefer,11,947,110900.0,2024
1113,Chefstjänstemän i intresseorganisationer,Senior officials of special-interest organisations,Chefer,11,1176,49800.0,2024
1120,Verkställande direktörer m.fl.,Directors and chief executives,Chefer,11,23251,72200.0,2024
1211,"Ekonomi- och finanschefer, nivå 1","Finance managers, level 1",Chefer,12,7458,80000.0,2024
1212,"Ekonomi- och finanschefer, nivå 2","Finance managers, level 2",Chefer,12,14002,63600.0,2024
1221,"Personal- och HR-chefer, nivå 1","Human resource managers, level 1",Chefer,12,4277,65000.0,2024
1222,"Personal- och HR-chefer, nivå 2","Human resource managers, level 2",Chefer,12,7076,64600.0,2024
1230,Förvaltnings- och planeringschefer,Administration and planning managers,Chefer,12,12383,68000.0,2024
1241,"Informations-, kommunikations- och PR-chefer, nivå 1","Information, communication and public relations managers, level 1",Chefer,12,1711,74500.0,2024
1242,"Informations-, kommunikations - och PR-chefer, nivå 2","Information, communication and public relations managers, level 2",Chefer,12,3677,60000.0,2024
1251,"Försäljnings- och marknadschefer, nivå 1","Sales and marketing managers, level 1",Chefer,12,15281,72000.0,2024
1252,"Försäljnings- och marknadschefer, nivå 2","Sales and marketing managers, level 2",Chefer,12,23763,67800.0,2024
1291,"Övriga administrations- och servicechefer, nivå 1","Administration and service managers not elsewhere classified, level 1",Chefer,12,11367,62900.0,2024
1292,"Övriga administrations- och servicechefer, nivå 2","Administration and service managers not elsewhere classified, level 2",Chefer,12,18774,55500.0,2024
1311,"IT-chefer, nivå 1","Information and communications technology service managers, level 1",Chefer,13,4836,75200.0,2024
1312,"IT-chefer, nivå 2","Information and communications technology service managers, level 2",Chefer,13,11346,69900.0,2024
1321,"Inköps-, logistik- och transportchefer, nivå 1","Supply, logistics and transport managers, level 1",Chefer,13,4433,59700.0,2024
1322,"Inköps-, logistik- och transportchefer, nivå 2","Supply, logistics and transport managers, level 2",Chefer,13,9785,54000.0,2024
1331,"Forsknings- och utvecklingschefer, nivå 1","Research and development managers, level 1",Chefer,13,3187,79300.0,2024
1332,"Forsknings- och utvecklingschefer, nivå 2","Research and development managers, level 2",Chefer,13,4756,71000.0,2024
1341,"Chefer inom arkitekt- och ingenjörsverksamhet, nivå 1","Architectural and engineering managers, level 1",Chefer,13,4057,68300.0,2024
1342,"Chefer inom arkitekt- och ingenjörsverksamhet, nivå 2","Architectural and engineering managers, level 2",Chefer,13,11403,64400.0,2024
1351,"Fastighets- och förvaltningschefer, nivå 1","Real estate and head of administration managers, level 1",Chefer,13,796,80900.0,2024
1352,"Fastighets- och förvaltningschefer, nivå 2","Real estate and head of administration managers, level 2",Chefer,13,5075,56000.0,2024
1361,"Driftchefer inom bygg, anläggning och gruva, nivå 1","Production managers in construction and mining, level 1",Chefer,13,3954,76100.0,2024
1362,"Driftchefer inom bygg, anläggning och gruva, nivå 2","Production managers in construction and mining, level 2",Chefer,13,17253,56000.0,2024
1371,"Produktionschefer inom tillverkning, nivå 1","Production managers in manufacturing, level 1",Chefer,13,4230,66700.0,2024
1372,"Produktionschefer inom tillverkning, nivå 2","Production managers in manufacturing, level 2",Chefer,13,13232,53500.0,2024
1380,Förvaltare inom skogsbruk och lantbruk m.fl.,Forestry and agricultural production managers,Chefer,13,1164,55300.0,2024
1411,"Avdelningschefer inom grund- och gymnasieskola samt vuxenutbildning, nivå 1","Primary and secondary schools and adult education managers, level 1",Chefer,14,997,68300.0,2024
1412,"Rektorer, nivå 2","Headmasters, level 2",Chefer,14,12278,58400.0,2024
1421,"Avdelningschefer inom förskola, nivå 1","Department managers in pre-school, level 1",Chefer,14,306,58100.0,2024
1422,"Förskolechefer, nivå 2","Pre-school managers, level 2",Chefer,14,3989,51000.0,2024
1491,"Övriga avdelningschefer inom utbildning, nivå 1","Department managers in education not elsewhere classified, level 1",Chefer,14,158,,2024
1492,"Övriga verksamhetschefer inom utbildning, nivå 2","Operations managers in education not elsewhere classified, level 2",Chefer,14,1048,,2024
1511,"Klinik- och verksamhetschefer inom hälsa och sjukvård, nivå 1","Clinical and operations managers in health care, level 1",Chefer,15,2934,74500.0,2024
1512,"Avdelnings- och enhetschefer inom hälsa och sjukvård, nivå 2","Department and unit managers in health care, level 2",Chefer,15,11386,54000.0,2024
1521,"Avdelningschefer inom socialt och kurativt arbete, nivå 1","Department managers in social and curative care, level 1",Chefer,15,1095,63400.0,2024
1522,"Enhetschefer inom socialt och kurativt arbete, nivå 2","Unit managers in social and curative care, level 2",Chefer,15,4867,52300.0,2024
1531,"Avdelningschefer inom äldreomsorg, nivå 1","Department managers in elderly care, level 1",Chefer,15,1133,66000.0,2024
1532,"Enhetschefer inom äldreomsorg, nivå 2","Unit managers in elderly care, level 2",Chefer,15,10235,50000.0,2024
1540,Chefer och ledare inom trossamfund,Managers and leaders within religious bodies,Chefer,15,923,65700.0,2024
1591,"Övriga chefer inom samhällsservice, nivå 1","Managers in public services not elsewhere classified, level 1",Chefer,15,4110,70900.0,2024
1592,"Övriga verksamhetschefer inom samhällsservice, nivå 2","Operations managers in public services not elsewhere classified, level 2",Chefer,15,16948,53300.0,2024
1611,"Chefer inom bank, finans och försäkring, nivå 1","Financial and insurance managers, level 1",Chefer,16,1554,126500.0,2024
1612,"Chefer inom bank, finans och försäkring, nivå 2","Financial and insurance managers, level 2",Chefer,16,4392,73000.0,2024
1711,"Hotell- och konferenschefer, nivå 1","Hotel and conference managers, level 1",Chefer,17,485,55000.0,2024
1712,"Hotell- och konferenschefer, nivå 2","Hotel and conference managers, level 2",Chefer,17,1409,41500.0,2024
1721,"Restaurang- och kökschefer, nivå 1","Restaurant managers, level 1",Chefer,17,2013,,2024
1722,"Restaurang- och kökschefer, nivå 2","Restaurant managers, level 2",Chefer,17,8947,35800.0,2024
1731,"Chefer inom handel, nivå 1","Retail and wholesale trade managers, level 1",Chefer,17,1927,56300.0,2024
1732,"Chefer inom handel, nivå 2","Retail and wholesale trade managers, level 2",Chefer,17,8065,46700.0,2024
1741,"Chefer inom friskvård, sport och fritid, nivå 1","Sports, leisure and wellness managers, level 1",Chefer,17,189,,2024
1742,"Chefer inom friskvård, sport och fritid, nivå 2","Sports, leisure and wellness managers, level 2",Chefer,17,1590,38000.0,2024
1791,"Chefer inom övrig servicenäring, nivå 1","Other services managers not elsewhere classified, level 1",Chefer,17,1945,53600.0,2024
1792,"Chefer inom övrig servicenäring, nivå 2","Other services managers not elsewhere classified, level 2",Chefer,17,6204,41800.0,2024
2111,Fysiker och astronomer,Physicists and astronomers,Specialister,21,2042,50000.0,2024
2112,Meteorologer,Meteorologists,Specialister,21,169,42600.0,2024
2113,Kemister,Chemists,Specialister,21,4418,50200.0,2024
2114,Geologer och geofysiker m.fl.,"Geologists, geophysicists and related professionals",Specialister,21,2159,45700.0,2024
2121,Matematiker och aktuarier,Mathematicians and actuaries,Specialister,21,794,69600.0,2024
